address,choice,balance,timestamp,dateUtc,authorIpfsHash,choice.1
0x57b9F76Cc321DCB62076dFfeD1fAB736161aD1b4,1,102,1622050599,"Wed, 26 May 2021 17:36:39 GMT",QmRpq3zZGxuNcnqZFEpXKjc9t2QVhvwu1k2rSimbSXJRht
0xE0efC78BBb6E8E1AdC669A7BF4B504cc37c4932B,1,365,1622050601,"Wed, 26 May 2021 17:36:41 GMT",QmQ7UdzxwR818wDdF149uC74mwzHoBecuZbhLzNYq1JSnG
0x9f4ad485D408Ec432Fb5aD166bfDF97f6fEe18f5,1,5.1286,1622050613,"Wed, 26 May 2021 17:36:53 GMT",QmYQRye62yEMm1RA3wd3AxBsxADbWZpwQxaoWuyshPjo3c
0xF01B0ddebd3C22125ac691489A856d7e562bA534,1,1,1622050620,"Wed, 26 May 2021 17:37:00 GMT",QmQ1AvWFJGBhFUTnWjjokqJuCtpCgYpk68j3WRsA5j99g8
0x0360C3330cc7B66013Af2B202c6145c9e1966DCD,1,104.43007712554984,1622050632,"Wed, 26 May 2021 17:37:12 GMT",Qma9p9keFNUENGvUw7RVw9mycPcgDAQ4bqRVbC8PxwPshn
0x42aDD773B02585dbAF024Db751d8944618aDa20A,1,1,1622050635,"Wed, 26 May 2021 17:37:15 GMT",QmbxWC8S57BmPuXfSqSFqPcgibnXa77xuKkTPSFpoMP5tV
0x128e5625e15FdBA91d6CcB1AbDFdC62b5d152b4f,1,300,1622050642,"Wed, 26 May 2021 17:37:22 GMT",QmfJKwKVCMdoKUUnGGyAYf85h8uozTkSZ72SCwG91tWxHy
0x7eB3AcED4ba7D606C63e4B62418dD64226D7D6eF,1,4.8714,1622050643,"Wed, 26 May 2021 17:37:23 GMT",QmVmFSywRiAJ4eWkXhtekrwEgHV7ZspbmCYbJbw9cQnPTR
0x6E020804f89d262222A1A67fCbb1430b8d5AAA99,1,5,1622050670,"Wed, 26 May 2021 17:37:50 GMT",QmWtg5yRGSw3JvW14FUSGcA8deT4rDkqXbdFC1RCitpR1T
0x0a9AaF37f167Ce6A3bC1BC62AB785307B2064eC9,1,5,1622050690,"Wed, 26 May 2021 17:38:10 GMT",QmP3Sjm74Cu6X99XnAD8kD8ZtAQp34eXhAPzkRdqpx63Nq
0xB21eDCfbb2edBdFB3c8304C71235196483E6b8B3,1,437.5285488614232,1622050693,"Wed, 26 May 2021 17:38:13 GMT",QmSZgVHE5r9KRq9GagexTGmCB9S8xsuUiGCiCebfsCXDVb
0xa23842C61ca1e15bB148Ab13840768b87f04E642,1,58.65792364396206,1622050761,"Wed, 26 May 2021 17:39:21 GMT",Qme1WxhX1QtGHg6zRATcf6TaP3JrNp9yW1t15YJYeYgAN8
0x7558899d8109D8a2CE457837ADE56C3d6eBFE90d,1,0.01,1622050839,"Wed, 26 May 2021 17:40:39 GMT",QmZQEmuE4hP3ra8jgkpob2LbqPmo6D1kEwsmrzXsLPjZQz
0x12c88Ebd7F82D3d8A33A8FFd88390967f45F9dd3,1,150,1622050981,"Wed, 26 May 2021 17:43:01 GMT",QmQ2rWHUnZ3ubFQHMbmpEHNrXVyqcT4h9PieteaFxp6MxV
0xE0CA00bDAe2768576C73AC0Ef2fa25D8bC68655A,1,400,1622051097,"Wed, 26 May 2021 17:44:57 GMT",QmaDiY2qARuMg8z8TD3tuDQyEyo58kKwtJPPfocMCvWEJe
0xAF77ecD5349e8a736b1aA651366845607824D1BC,1,615.6460974173912,1622051221,"Wed, 26 May 2021 17:47:01 GMT",QmcZbyk1Bhwz1jArYAuS15U7J8tKZJrBmGXwAxmXZ1pfc7
0x1bFa73b9c44Cb0E09c1503AE08094014aEd4f8f8,1,4.77,1622051296,"Wed, 26 May 2021 17:48:16 GMT",QmRMma6pYu5yUHWEqMFa4LhMtT2jBpsK3nC2cqJgwMorpL
0xc93dD2B75Bf844F85dd9c434fe5422095C940087,1,4.23,1622051310,"Wed, 26 May 2021 17:48:30 GMT",QmQYnfS974nRNrgDg5Ts9YnLHZsaQHcL8dwNMYBqe7yqFE
0x38BaF97DAf32fA04E163564DA2f09347c0B29Aae,1,3.5,1622051334,"Wed, 26 May 2021 17:48:54 GMT",QmWJHPhzyzsi2hqKVXFwnbaemV96jP9rzHhbkHgXBs7Qdj
0x0644442597CeE4477C5B7b313003A418Be78539d,1,3.95,1622051349,"Wed, 26 May 2021 17:49:09 GMT",QmUwcEpYfuehcD1DYh7TMbwRzjVybNDeb7nD1V1kpV1Pf4
0xb7FC36366f0FBfE0C29f62eD4FBeE5b62dED0d4A,1,5.47,1622051374,"Wed, 26 May 2021 17:49:34 GMT",QmZTmzrV3bSpL2nkVGPKdoNgyBjZuEvnX5oeNRcHahzN27
0x171814DB6DcAA27d2f88B1d31E306ABda53E7526,1,0.01,1622051426,"Wed, 26 May 2021 17:50:26 GMT",QmU7kpudoi5VnXgLno1yPuLKgrkfjZy7rhNBhAiVq6Lnqr
0x5Dc67417792fB09192Dc9caa1ffE3c7D7c1C1099,1,7.08,1622051437,"Wed, 26 May 2021 17:50:37 GMT",QmUkbv7uqmNe4N3BWARbQHvqdYp8KLJBP8W3CXCVeaZR7C
0x8b85F2ED950c15a1470bD6706f2ce3469E028089,1,5.32,1622051456,"Wed, 26 May 2021 17:50:56 GMT",QmXhzLWDUFGZm3SDgXZPhygzarwKRFMNUENXqcYqqeBkUC
0xCD37Cd2dB1A6b553a58cc5791ee97103dA33dB6F,1,5,1622051484,"Wed, 26 May 2021 17:51:24 GMT",QmSboiJGUUij4AKEpndHxMr5FG3YoThyRMG4Z3VgnLByiu
0x19360799a15730fAc556088793895aa7650EE442,1,806.0024980417325,1622051518,"Wed, 26 May 2021 17:51:58 GMT",QmeuPfWxSw6sc19sbLWSCM99vsmFxbpScVaXgxav9c4AkP
0x47067061cc6092454fdC3a43b44f653DCB662dE2,1,5.68,1622051589,"Wed, 26 May 2021 17:53:09 GMT",QmYWUpuY99QzHN6vuK3S9avchnAq6AEHBCtaTNzNAFnDSm
0xbE2fd46639EAe548552aA79b1245D65718cB89d9,1,1.0365657273985975,1622051705,"Wed, 26 May 2021 17:55:05 GMT",QmWc6TyXGsU1WpmhDSLQFr5NviU2psKY7dGSPrAb61zuGT
0xd94916c3a62A4206273A2574bB6F6F951C8D3882,1,9,1622051747,"Wed, 26 May 2021 17:55:47 GMT",QmXcWuUMMJF9BoQAuDmNYcL1aPpnajfiSc3fbChwxe6cuu
0x7502af434f59E4E1DfD371E15e9183ebb6501AC0,1,1.11066907,1622051855,"Wed, 26 May 2021 17:57:35 GMT",QmVaSqtJbKCszbz4f3YrjfGaTYzXbrTEmQrTv1hQm1F1dM
0xB584bFD8377Df5e81562B49FC1d1e4E33368BF2F,1,399.21,1622052049,"Wed, 26 May 2021 18:00:49 GMT",QmYpVgWuwwEfRvBXPVrKwbhGJgcidwriLxmfPGi5pzhacV
0xEccC484DD4093F62fC24c4725800013FBc2C1D15,1,184.91760064414382,1622052156,"Wed, 26 May 2021 18:02:36 GMT",QmcSyhbMB8DoU9JwV4uwtrU8vNiiE9z1ummnH36Xzkw1d1
